STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX
USW00094789,40.63915,-73.7639,2.7,12/24/09,38
USW00094789,40.63915,-73.7639,2.7,12/25/09,40
USW00094789,40.63915,-73.7639,2.7,12/26/09,52
USW00094789,40.63915,-73.7639,2.7,12/27/09,54
USW00094789,40.63915,-73.7639,2.7,12/28/09,44
USW00094789,40.63915,-73.7639,2.7,12/29/09,31
USW00094789,40.63915,-73.7639,2.7,12/30/09,32
USW00094789,40.63915,-73.7639,2.7,12/31/09,35
USW00094789,40.63915,-73.7639,2.7,1/1/10,41
USW00094789,40.63915,-73.7639,2.7,1/2/10,33
USW00094789,40.63915,-73.7639,2.7,1/3/10,24
USW00094789,40.63915,-73.7639,2.7,1/4/10,32
USW00094789,40.63915,-73.7639,2.7,1/5/10,32
USW00094789,40.63915,-73.7639,2.7,1/6/10,36
USW00094789,40.63915,-73.7639,2.7,1/7/10,40
USW00094789,40.63915,-73.7639,2.7,1/8/10,33
USW00094789,40.63915,-73.7639,2.7,1/9/10,32
USW00094789,40.63915,-73.7639,2.7,1/10/10,30
USW00094789,40.63915,-73.7639,2.7,1/11/10,32
USW00094789,40.63915,-73.7639,2.7,1/12/10,37
USW00094789,40.63915,-73.7639,2.7,1/13/10,36
USW00094789,40.63915,-73.7639,2.7,1/14/10,39
USW00094789,40.63915,-73.7639,2.7,1/15/10,50
USW00094789,40.63915,-73.7639,2.7,1/16/10,49
USW00094789,40.63915,-73.7639,2.7,1/17/10,42
USW00094789,40.63915,-73.7639,2.7,1/18/10,50
USW00094789,40.63915,-73.7639,2.7,1/19/10,46
USW00094789,40.63915,-73.7639,2.7,1/20/10,44
USW00094789,40.63915,-73.7639,2.7,1/21/10,43
USW00094789,40.63915,-73.7639,2.7,1/22/10,45
USW00094789,40.63915,-73.7639,2.7,1/23/10,42
USW00094789,40.63915,-73.7639,2.7,1/24/10,49
USW00094789,40.63915,-73.7639,2.7,1/25/10,53
USW00094789,40.63915,-73.7639,2.7,1/26/10,47
USW00094789,40.63915,-73.7639,2.7,1/27/10,42
USW00094789,40.63915,-73.7639,2.7,1/28/10,43
USW00094789,40.63915,-73.7639,2.7,1/29/10,25
USW00094789,40.63915,-73.7639,2.7,1/30/10,20
USW00094789,40.63915,-73.7639,2.7,1/31/10,30
USW00094789,40.63915,-73.7639,2.7,2/1/10,37
USW00094789,40.63915,-73.7639,2.7,2/2/10,33
USW00094789,40.63915,-73.7639,2.7,2/3/10,40
USW00094789,40.63915,-73.7639,2.7,2/4/10,38
USW00094789,40.63915,-73.7639,2.7,2/5/10,37
USW00094789,40.63915,-73.7639,2.7,2/6/10,33
USW00094789,40.63915,-73.7639,2.7,2/7/10,35
USW00094789,40.63915,-73.7639,2.7,2/8/10,39
USW00094789,40.63915,-73.7639,2.7,2/9/10,40
USW00094789,40.63915,-73.7639,2.7,2/10/10,33
USW00094789,40.63915,-73.7639,2.7,2/11/10,37
USW00094789,40.63915,-73.7639,2.7,2/12/10,36
USW00094789,40.63915,-73.7639,2.7,2/13/10,32
USW00094789,40.63915,-73.7639,2.7,2/14/10,39
USW00094789,40.63915,-73.7639,2.7,2/15/10,37
USW00094789,40.63915,-73.7639,2.7,2/16/10,34
USW00094789,40.63915,-73.7639,2.7,2/17/10,34
USW00094789,40.63915,-73.7639,2.7,2/18/10,40
USW00094789,40.63915,-73.7639,2.7,2/19/10,43
USW00094789,40.63915,-73.7639,2.7,2/20/10,45
USW00094789,40.63915,-73.7639,2.7,2/21/10,47
USW00094789,40.63915,-73.7639,2.7,2/22/10,44
USW00094789,40.63915,-73.7639,2.7,2/23/10,39
USW00094789,40.63915,-73.7639,2.7,2/24/10,42
USW00094789,40.63915,-73.7639,2.7,2/25/10,38
USW00094789,40.63915,-73.7639,2.7,2/26/10,34
USW00094789,40.63915,-73.7639,2.7,2/27/10,37
USW00094789,40.63915,-73.7639,2.7,2/28/10,40
USW00094789,40.63915,-73.7639,2.7,3/1/10,49
USW00094789,40.63915,-73.7639,2.7,3/2/10,47
USW00094789,40.63915,-73.7639,2.7,3/3/10,41
USW00094789,40.63915,-73.7639,2.7,3/4/10,49
USW00094789,40.63915,-73.7639,2.7,3/5/10,49
USW00094789,40.63915,-73.7639,2.7,3/6/10,55
USW00094789,40.63915,-73.7639,2.7,3/7/10,59
USW00094789,40.63915,-73.7639,2.7,3/8/10,63
USW00094789,40.63915,-73.7639,2.7,3/9/10,62
USW00094789,40.63915,-73.7639,2.7,3/10/10,54
USW00094789,40.63915,-73.7639,2.7,3/11/10,53
USW00094789,40.63915,-73.7639,2.7,3/12/10,48
USW00094789,40.63915,-73.7639,2.7,3/13/10,52
USW00094789,40.63915,-73.7639,2.7,3/14/10,50
USW00094789,40.63915,-73.7639,2.7,3/15/10,45
USW00094789,40.63915,-73.7639,2.7,3/16/10,63
USW00094789,40.63915,-73.7639,2.7,3/17/10,63
USW00094789,40.63915,-73.7639,2.7,3/18/10,66
USW00094789,40.63915,-73.7639,2.7,3/19/10,69
USW00094789,40.63915,-73.7639,2.7,3/20/10,70
USW00094789,40.63915,-73.7639,2.7,3/21/10,58
USW00094789,40.63915,-73.7639,2.7,3/22/10,57
USW00094789,40.63915,-73.7639,2.7,3/23/10,51
USW00094789,40.63915,-73.7639,2.7,3/24/10,62
USW00094789,40.63915,-73.7639,2.7,3/25/10,54
USW00094789,40.63915,-73.7639,2.7,3/26/10,55
USW00094789,40.63915,-73.7639,2.7,3/27/10,40
USW00094789,40.63915,-73.7639,2.7,3/28/10,48
USW00094789,40.63915,-73.7639,2.7,3/29/10,52
USW00094789,40.63915,-73.7639,2.7,3/30/10,52
USW00094789,40.63915,-73.7639,2.7,3/31/10,59
USW00094789,40.63915,-73.7639,2.7,4/1/10,63
USW00094789,40.63915,-73.7639,2.7,4/2/10,61
USW00094789,40.63915,-73.7639,2.7,4/3/10,51
USW00094789,40.63915,-73.7639,2.7,4/4/10,73
USW00094789,40.63915,-73.7639,2.7,4/5/10,68
USW00094789,40.63915,-73.7639,2.7,4/6/10,73
USW00094789,40.63915,-73.7639,2.7,4/7/10,87
USW00094789,40.63915,-73.7639,2.7,4/8/10,69
USW00094789,40.63915,-73.7639,2.7,4/9/10,62
USW00094789,40.63915,-73.7639,2.7,4/10/10,62
USW00094789,40.63915,-73.7639,2.7,4/11/10,73
USW00094789,40.63915,-73.7639,2.7,4/12/10,67
USW00094789,40.63915,-73.7639,2.7,4/13/10,55
USW00094789,40.63915,-73.7639,2.7,4/14/10,65
USW00094789,40.63915,-73.7639,2.7,4/15/10,73
USW00094789,40.63915,-73.7639,2.7,4/16/10,52
USW00094789,40.63915,-73.7639,2.7,4/17/10,55
USW00094789,40.63915,-73.7639,2.7,4/18/10,58
USW00094789,40.63915,-73.7639,2.7,4/19/10,63
